Word,Conc
梅雨,2.28
米粉,1.2
米酒,1.32
内应,2.791667
拟人,3.875
培育,3.08
媲美,3.291667
趋势,3.521739
取材,3.041667
确切,3.25
收监,2.0
手工,1.782609
水路,1.833333
说教,3.32
太庙,2.083333
坦白,2.875
炭疽,2.5
套用,3.583333
天才,3.041667
天价,3.24
甜蜜,3.166667
铁锈,1.48
偷窥,2.375
弯腰,1.52
腕力,2.68
为此,3.888889
围巾,1.36
卫生,2.96
无业,2.28
舞台,1.84
戏剧,2.12
现况,3.12
享福,3.4
谢绝,2.541667
新春,2.48
虚弱,3.0
牙齿,1.2
胭脂,1.96
演习,2.333333
仰赖,3.608696
腰包,2.24
遥远,3.4
叶子,1.44
衣袖,1.4
遗忘,3.08
颐养,3.73913
倚靠,3.0
油价,1.96
幼虫,1.84
猿猴,1.36
掌握,3.333333
招生,2.44
植入,3.130435
治愈,2.916667
中奖,2.04
字画,1.52
傲慢,3.36
备注,2.92
背景,3.24
便当,1.958333
病床,1.6
差价,2.64
产地,2.2
昌盛,3.72
诚信,3.08
充血,2.608696
道具,1.76
动能,3.541667
房租,1.8
放逐,3.32
飞机,1.36
封杀,3.28
孵化,3.2
改变,3.56
高兴,2.666667
歌曲,1.92
格外,3.869565
拱桥,1.76
寡妇,1.68
管束,3.458333
光鲜,3.84
鬼才,3.666667
航海,2.04
互信,3.68
花式,3.826087
汇报,2.68
计谋,3.25
妓女,1.64
将令,2.772727
浆糊,1.958333
交谈,2.6
交友,2.92
娇小,2.6
骄子,3.521739
节约,3.04
今年,1.791667
金表,1.32
静止,2.84
巨人,2.28
俱全,3.666667
决裂,3.08
绝食,2.208333
均等,3.26087
客栈,1.68
恐龙,1.64
口供,2.458333
苦难,3.6
来世,3.708333
赖皮,3.0
牢房,1.56
乐队,1.68
雷达,1.68
利用,3.84
谅解,3.25
临摹,2.5
领先,3.2
路线,2.36
贸易,2.88
梅花,1.32
美化,3.708333
门帘,1.48
闷热,2.64
灭亡,2.8
民心,3.28
名称,2.32
明镜,2.772727
莫名,4.0
母鸡,1.24
纳粹,2.583333
疱疹,1.708333
起跑,2.68
气功,2.75
躯体,1.76
曲直,3.24
蜷曲,2.791667
染病,2.64
辱骂,2.32
入口,2.291667
散会,2.08
少许,3.333333
伸张,3.16
石窟,1.72
驶离,2.583333
授予,2.72
术语,2.791667
水流,2.08
铁定,3.625
铁路,1.36
外界,3.12
玩弄,3.478261
卫星,1.48
物理,3.12
相隔,3.217391
详情,2.92
鞋底,1.48
泻药,1.76
兴奋,2.958333
兴盛,3.44
休业,2.416667
羞涩,2.84
秀丽,3.36
厌倦,3.0
羊羔,1.56
妖怪,3.08
摇滚,2.8
野草,1.8
衣饰,2.0
引力,3.125
应酬,2.88
泳镜,1.4
诱骗,3.2
远离,2.791667
长寿,2.44
职级,2.583333
制造,2.48
众多,3.36
注资,2.666667
自由,3.6
作者,1.8
安定,3.055556
按压,1.944444
昂贵,2.371429
摆布,3.142857
报纸,1.085714
毕竟,3.852941
